Name,Date,Revenue,Operating Income,Total Assets,Free Cash Flow,Color
CDEV,2011-01-01,0,0,0,0,#2E82E7
CDEV,2011-04-01,0,0,0,0,#2E82E7
CDEV,2011-07-01,0,0,0,0,#2E82E7
CDEV,2011-10-01,0,0,0,0,#2E82E7
CDEV,2012-01-01,0,0,0,0,#2E82E7
CDEV,2012-04-01,0,0,0,0,#2E82E7
CDEV,2012-07-01,0,0,0,0,#2E82E7
CDEV,2012-10-01,0,0,0,0,#2E82E7
CDEV,2013-01-01,0,0,0,0,#2E82E7
CDEV,2013-04-01,0,0,0,0,#2E82E7
CDEV,2013-07-01,0,0,0,0,#2E82E7
CDEV,2013-10-01,0,0,0,0,#2E82E7
CDEV,2014-01-01,0,0,0,0,#2E82E7
CDEV,2014-04-01,0,0,0,0,#2E82E7
CDEV,2014-07-01,0,0,0,0,#2E82E7
CDEV,2014-10-01,0,0,0,0,#2E82E7
CDEV,2015-01-01,0,0,0,0,#2E82E7
CDEV,2015-04-01,0,0,0,0,#2E82E7
CDEV,2015-07-01,0,0,0,0,#2E82E7
CDEV,2015-10-01,0,0,0.476191,0,#2E82E7
CDEV,2016-01-01,23.75,-6.105,501.80432,-3.867,#2E82E7
CDEV,2016-04-01,29.39,0.056,501.273984,6.394,#2E82E7
CDEV,2016-07-01,29.273,-1.775,501.04992,3.575,#2E82E7
CDEV,2016-10-01,30.771,-1.932,2651.642112,-865.139968,#2E82E7
CDEV,2017-01-01,60.7,7.653,2653.755904,-82.69,#2E82E7
CDEV,2017-04-01,91.337,23.984,3098.56896,-24.926,#2E82E7
CDEV,2017-07-01,112.001,26.977,3274.611968,-113.231,#2E82E7
CDEV,2017-10-01,165.196992,69.143,3616.569088,-534.036992,#2E82E7
CDEV,2018-01-01,216.259008,88.228,3692.562944,-222.238,#2E82E7
CDEV,2018-04-01,222.926,81.834,3838.889984,73.872,#2E82E7
CDEV,2018-07-01,243.746,101.254,4017.371904,-84.448,#2E82E7
CDEV,2018-10-01,228.724,69.503,4260.020992,-313.988,#2E82E7
CDEV,2019-01-01,214.192,52.114,4478.54592,-117.868,#2E82E7
CDEV,2019-04-01,250.627008,65.089,4535.327232,-44.113,#2E82E7
CDEV,2019-07-01,220.912,22.104,4646.1312,-106.296,#2E82E7
CDEV,2019-10-01,252.944,45.769,4688.287744,-135.268992,#2E82E7
CDEV,2020-01-01,192.716,19.001,4106.249984,-61.563,#2E82E7
CDEV,2020-04-01,83.615,-74.097,4020.886016,-126.134,#2E82E7
CDEV,2020-07-01,114.615,-46.011,3923.035904,16.234,#2E82E7
CDEV,2020-10-01,142.859008,-11.545,3827.425024,23.291,#2E82E7
CDEV,2021-01-01,169.504992,32.885,3848.321024,26.013000000000005,#2E82E7
CDEV,2021-04-01,195.064,48.578,3874.349056,26.476,#2E82E7
COG,2011-01-01,209.008992,37.89,4048.40704,-111.956,#50D431
COG,2011-04-01,241.599008,73.45,4250.160128,-71.557,#50D431
COG,2011-07-01,262.180992,61.443,4472.3968,-110.108,#50D431
COG,2011-10-01,268.04,71.65,4331.492864,-95.817,#50D431
COG,2012-01-01,272.136,47.196,4402.793984,-56.767,#50D431
COG,2012-04-01,265.999008,10.718,4410.191872,-63.418,#50D431
COG,2012-07-01,297.023008,76.05,4482.936832,-93.901,#50D431
COG,2012-10-01,369.924,122.07,4616.312832,-61.798,#50D431
COG,2013-01-01,373.284992,87.11,4687.83616,-47.484,#50D431
COG,2013-04-01,449.68,164.46,5017.935872,13.395,#50D431
COG,2013-07-01,435.849984,127.111,5031.392256,-42.763,#50D431
COG,2013-10-01,487.463008,150.448,4981.080064,-93.361,#50D431
COG,2014-01-01,509.803008,195.772,5145.775104,-83.323,#50D431
COG,2014-04-01,533.187008,214.478,5208.922112,49.795,#50D431
COG,2014-07-01,512.016992,118.389,5807.263744,11.929,#50D431
COG,2014-10-01,618.003968,112.145,5437.715968,-221.706,#50D431
COG,2015-01-01,464.764992,95.425152,5512.323072,-127.861,#50D431
COG,2015-04-01,306.296992,-11.996308,5504.920064,-78.719,#50D431
COG,2015-07-01,305.296,-4.78,5484.672,-28.384,#50D431
COG,2015-10-01,280.792,-42.848,5253.03808,28.881,#50D431
COG,2016-01-01,281.940992,-72.749,5702.708224,-25.125,#50D431
COG,2016-04-01,246.816,-69.504,5570.469888,23.038,#50D431
COG,2016-07-01,310.428992,2.909,5531.920896,13.999,#50D431
COG,2016-10-01,316.491008,-6.367,5122.569216,10.376,#50D431
COG,2017-01-01,517.843008,190.343008,5244.38784,60.994,#50D431
COG,2017-04-01,460.456992,127.398,5219.459072,75.619,#50D431
COG,2017-07-01,385.416,50.2,5128.765952,-4.379,#50D431
COG,2017-10-01,400.503008,69.416,4727.344128,1.368,#50D431
COG,2018-01-01,473.227008,218.092992,4538.400768,116.503,#50D431
COG,2018-04-01,453.447008,77.513,4396.709888,42.886,#50D431
COG,2018-07-01,545.172992,150.396,4179.043072,-18.04,#50D431
COG,2018-10-01,716.300992,342.153984,4198.829056,69.084,#50D431
COG,2019-01-01,641.681024,354.459008,4481.546752,389.636992,#50D431
COG,2019-04-01,534.116992,252.928992,4563.728896,100.8,#50D431
COG,2019-07-01,429.111008,130.139,4442.66496,71.678,#50D431
COG,2019-10-01,461.368,155.795008,4487.2448,95.308,#50D431
COG,2020-01-01,386.456992,86.33,4522.174976,56.195,#50D431
COG,2020-04-01,332.348,53.957,4527.869952,-46.045,#50D431
COG,2020-07-01,291.040992,-7.564,4419.30496,-18.179,#50D431
COG,2020-10-01,414.846016,121.312,4523.531776,210.416992,#50D431
COG,2021-01-01,459.68,177.743008,4550.852096,166.910008,#50D431
COG,2021-04-01,324.667008,60.064,4610.567168,27.620000000000005,#50D431
CNX,2011-01-01,1442.161024,294.02,12223.740928,180.466,#D22DEE
CNX,2011-04-01,1563.006976,270.028992,12201.117696,29.576,#D22DEE
CNX,2011-07-01,1499.798016,252.62,12163.048448,44.899,#D22DEE
CNX,2011-10-01,1458.656,212.499008,12525.700096,-109.706,#D22DEE
CNX,2012-01-01,1426.770048,176.696992,12595.610624,-76.96,#D22DEE
CNX,2012-04-01,1248.948992,94.789,12597.896192,-269.489984,#D22DEE
CNX,2012-07-01,1125.392,29.88,12556.594176,-275.408,#D22DEE
CNX,2012-10-01,821.664,5.5,12997.594112,104.474,#D22DEE
CNX,2013-01-01,812.249984,24.336,12593.193984,-81.536,#D22DEE
CNX,2013-04-01,769.608,36.555,12752.927744,-232.524992,#D22DEE
CNX,2013-07-01,762.659968,39.221,12737.072128,-118.066,#D22DEE
CNX,2013-10-01,776.204032,20.839,11393.667072,-412.944992,#D22DEE
CNX,2014-01-01,910.430016,122.387,11584.475136,-114.907,#D22DEE
CNX,2014-04-01,865.976,43.373,11566.647296,-147.240992,#D22DEE
CNX,2014-07-01,836.302976,20.041,11718.934528,-62.288,#D22DEE
CNX,2014-10-01,863.390976,96.444,11759.529984,-232.208992,#D22DEE
CNX,2015-01-01,693.982016,54.795,11781.39648,-59.434,#D22DEE
